Date,PoslednaCena,Max,Min,SMA_20,EMA_20,WMA_20,HMA_20,TMA_20,RSI,MACD,CCI,ADX,Stoch,Signal,Start Date,End Date
2014-11-10,7000.0,7000.0,7000.0,,7000.0,,,,,,,0.0,,Hold,2014-11-10,2014-11-10
2014-11-11,7000.0,7000.0,7000.0,,7000.0,,,,,,,0.0,,Hold,2014-11-11,2014-11-11
2014-11-12,7000.0,7000.0,7000.0,,7000.0,,,,,,,0.0,,Hold,2014-11-12,2014-11-12
2014-11-13,7000.0,7000.0,7000.0,,7000.0,,,,,,,0.0,,Hold,2014-11-13,2014-11-13
2014-11-14,7000.0,7000.0,7000.0,,7000.0,,,,,,,0.0,,Hold,2014-11-14,2014-11-14
2014-11-15,,,,,7000.0,,,,,,,0.0,,Hold,2014-11-15,2014-11-15
2014-11-16,,,,,7000.0,,,,,,,0.0,,Hold,2014-11-16,2014-11-16
2014-11-17,7000.0,7000.0,7000.0,,7000.0,,,,,,,0.0,,Hold,2014-11-17,2014-11-17
2014-11-18,7000.0,7000.0,7000.0,,7000.0,,,,,,,0.0,,Hold,2014-11-18,2014-11-18
2014-11-19,7000.0,7000.0,7000.0,,7000.0,,,,,,,0.0,,Hold,2014-11-19,2014-11-19
2014-11-20,7000.0,7000.0,7000.0,,7000.0,,,,,,,0.0,,Hold,2014-11-20,2014-11-20
2014-11-21,7000.0,7000.0,7000.0,,7000.0,,,,,,,0.0,,Hold,2014-11-21,2014-11-21
2014-11-22,,,,,7000.0,,,,,,,0.0,,Hold,2014-11-22,2014-11-22
2014-11-23,,,,,7000.0,,,,100.0,,,0.0,,Sell,2014-11-23,2014-11-23
2014-11-24,7000.0,7000.0,7000.0,,7000.0,,,,100.0,,,0.0,,Sell,2014-11-24,2014-11-24
2014-11-25,7000.0,7000.0,7000.0,,7000.0,,,,100.0,,,0.0,,Sell,2014-11-25,2014-11-25
2014-11-26,7000.0,7000.0,7000.0,,7000.0,,,,100.0,,,0.0,,Sell,2014-11-26,2014-11-26
2014-11-27,7000.0,7000.0,7000.0,,7000.0,,,,100.0,,,0.0,,Sell,2014-11-27,2014-11-27
2014-11-28,7000.0,7000.0,7000.0,,7000.0,,,,100.0,,,0.0,,Sell,2014-11-28,2014-11-28
2014-11-29,,,,,7000.0,,,,100.0,,,0.0,,Sell,2014-11-29,2014-11-29
2014-11-30,,,,,7000.0,,,,100.0,,,0.0,,Sell,2014-11-30,2014-11-30
2014-12-01,7000.0,7000.0,7000.0,,7000.0,,,,100.0,,,0.0,,Sell,2014-12-01,2014-12-01
2014-12-02,7000.0,7000.0,7000.0,,7000.0,,,,100.0,,,0.0,,Sell,2014-12-02,2014-12-02
2014-12-03,,,,,7000.0,,,,100.0,,,0.0,,Sell,2014-12-03,2014-12-03
2014-12-04,7000.0,7000.0,7000.0,,7000.0,,,,100.0,,,0.0,,Sell,2014-12-04,2014-12-04
2014-12-05,7000.0,7000.0,7000.0,,7000.0,,,,100.0,,,0.0,,Sell,2014-12-05,2014-12-05
2014-12-06,,,,,7000.0,,,,100.0,,,0.0,,Sell,2014-12-06,2014-12-06
2014-12-07,,,,,7000.0,,,,100.0,,,,,Sell,2014-12-07,2014-12-07
2014-12-08,,,,,7000.0,,,,100.0,,,,,Sell,2014-12-08,2014-12-08
2014-12-09,7000.0,7000.0,7000.0,,7000.0,,,,100.0,,,,,Sell,2014-12-09,2014-12-09
2014-12-10,7000.0,7000.0,7000.0,,7000.0,,,,100.0,,,,,Sell,2014-12-10,2014-12-10
2014-12-11,7000.0,7000.0,7000.0,,7000.0,,,,100.0,,,,,Sell,2014-12-11,2014-12-11
2014-12-12,7000.0,7000.0,7000.0,,7000.0,,,,100.0,,,,,Sell,2014-12-12,2014-12-12
2014-12-13,,,,,7000.0,,,,100.0,,,,,Sell,2014-12-13,2014-12-13
2014-12-14,,,,,7000.0,,,,100.0,,,,,Sell,2014-12-14,2014-12-14
2014-12-15,7000.0,7000.0,7000.0,,7000.0,,,,100.0,,,,,Sell,2014-12-15,2014-12-15
2014-12-16,7000.0,7000.0,7000.0,,7000.0,,,,100.0,,,,,Sell,2014-12-16,2014-12-16
2014-12-17,7000.0,7000.0,7000.0,,7000.0,,,,100.0,0.0,,,,Sell,2014-12-17,2014-12-17
2014-12-18,7000.0,7000.0,7000.0,,7000.0,,,,100.0,0.0,,,,Sell,2014-12-18,2014-12-18
2014-12-19,7000.0,7000.0,7000.0,,7000.0,,,,100.0,0.0,,,,Sell,2014-12-19,2014-12-19
2014-12-20,,,,,7000.0,,,,100.0,0.0,,,,Sell,2014-12-20,2014-12-20
2014-12-21,,,,,7000.0,,,,100.0,0.0,,,,Sell,2014-12-21,2014-12-21
2014-12-22,7000.0,7000.0,7000.0,,7000.0,,,,100.0,0.0,,,,Sell,2014-12-22,2014-12-22
2014-12-23,7000.0,7000.0,7000.0,,7000.0,,,,100.0,0.0,,,,Sell,2014-12-23,2014-12-23
2014-12-24,7000.0,7000.0,7000.0,,7000.0,,,,100.0,0.0,,,,Sell,2014-12-24,2014-12-24
2014-12-25,7000.0,7000.0,7000.0,,7000.0,,,,100.0,0.0,,,,Sell,2014-12-25,2014-12-25
2014-12-26,7000.0,7000.0,7000.0,,7000.0,,,,100.0,0.0,,,,Sell,2014-12-26,2014-12-26
2014-12-27,,,,,7000.0,,,,100.0,0.0,,,,Sell,2014-12-27,2014-12-27
2014-12-28,,,,,7000.0,,,,100.0,0.0,,,,Sell,2014-12-28,2014-12-28
2014-12-29,7000.0,7000.0,7000.0,,7000.0,,,,100.0,0.0,,,,Sell,2014-12-29,2014-12-29
2014-12-30,7000.0,7000.0,7000.0,,7000.0,,,,100.0,0.0,,,,Sell,2014-12-30,2014-12-30
2014-12-31,,,,,7000.0,,,,100.0,0.0,,,,Sell,2014-12-31,2014-12-31
2015-01-01,,,,,7000.0,,,,100.0,0.0,,,,Sell,2015-01-01,2015-01-01
2015-01-02,7000.0,7000.0,7000.0,,7000.0,,,,100.0,0.0,,,,Sell,2015-01-02,2015-01-02
2015-01-03,,,,,7000.0,,,,100.0,0.0,,,,Sell,2015-01-03,2015-01-03
2015-01-04,,,,,7000.0,,,,100.0,0.0,,,,Sell,2015-01-04,2015-01-04
2015-01-05,7000.0,7000.0,7000.0,,7000.0,,,,100.0,0.0,,,,Sell,2015-01-05,2015-01-05
2015-01-06,,,,,7000.0,,,,100.0,0.0,,,,Sell,2015-01-06,2015-01-06
2015-01-07,,,,,7000.0,,,,100.0,0.0,,,,Sell,2015-01-07,2015-01-07
2015-01-08,7000.0,7000.0,7000.0,,7000.0,,,,100.0,0.0,,,,Sell,2015-01-08,2015-01-08
2015-01-09,7000.0,7000.0,7000.0,,7000.0,,,,100.0,0.0,,,,Sell,2015-01-09,2015-01-09
2015-01-10,,,,,7000.0,,,,100.0,0.0,,,,Sell,2015-01-10,2015-01-10
2015-01-11,,,,,7000.0,,,,100.0,0.0,,,,Sell,2015-01-11,2015-01-11
2015-01-12,7000.0,7000.0,7000.0,,7000.0,,,,100.0,0.0,,,,Sell,2015-01-12,2015-01-12
2015-01-13,7000.0,7000.0,7000.0,,7000.0,,,,100.0,0.0,,,,Sell,2015-01-13,2015-01-13
2015-01-14,7000.0,7000.0,7000.0,,7000.0,,,,100.0,0.0,,,,Sell,2015-01-14,2015-01-14
2015-01-15,7000.0,7000.0,7000.0,,7000.0,,,,100.0,0.0,,,,Sell,2015-01-15,2015-01-15
2015-01-16,7000.0,7000.0,7000.0,,7000.0,,,,100.0,0.0,,,,Sell,2015-01-16,2015-01-16
2015-01-17,,,,,7000.0,,,,100.0,0.0,,,,Sell,2015-01-17,2015-01-17
2015-01-18,,,,,7000.0,,,,100.0,0.0,,,,Sell,2015-01-18,2015-01-18
2015-01-19,,,,,7000.0,,,,100.0,0.0,,,,Sell,2015-01-19,2015-01-19
2015-01-20,7000.0,7000.0,7000.0,,7000.0,,,,100.0,0.0,,,,Sell,2015-01-20,2015-01-20
2015-01-21,7000.0,7000.0,7000.0,,7000.0,,,,100.0,0.0,,,,Sell,2015-01-21,2015-01-21
2015-01-22,7000.0,7000.0,7000.0,,7000.0,,,,100.0,0.0,,,,Sell,2015-01-22,2015-01-22
2015-01-23,7000.0,7000.0,7000.0,,7000.0,,,,100.0,0.0,,,,Sell,2015-01-23,2015-01-23
2015-01-24,,,,,7000.0,,,,100.0,0.0,,,,Sell,2015-01-24,2015-01-24
2015-01-25,,,,,7000.0,,,,100.0,0.0,,,,Sell,2015-01-25,2015-01-25
2015-01-26,7000.0,7000.0,7000.0,,7000.0,,,,100.0,0.0,,,,Sell,2015-01-26,2015-01-26
2015-01-27,7000.0,7000.0,7000.0,,7000.0,,,,100.0,0.0,,,,Sell,2015-01-27,2015-01-27
2015-01-28,7000.0,7000.0,7000.0,,7000.0,,,,100.0,0.0,,,,Sell,2015-01-28,2015-01-28
2015-01-29,7000.0,7000.0,7000.0,,7000.0,,,,100.0,0.0,,,,Sell,2015-01-29,2015-01-29
2015-01-30,7000.0,7000.0,7000.0,,7000.0,,,,100.0,0.0,,,,Sell,2015-01-30,2015-01-30
2015-01-31,,,,,7000.0,,,,100.0,0.0,,,,Sell,2015-01-31,2015-01-31
2015-02-01,,,,,7000.0,,,,100.0,0.0,,,,Sell,2015-02-01,2015-02-01
2015-02-02,7000.0,7000.0,7000.0,,7000.0,,,,100.0,0.0,,,,Sell,2015-02-02,2015-02-02
2015-02-03,7000.0,7000.0,7000.0,,7000.0,,,,100.0,0.0,,,,Sell,2015-02-03,2015-02-03
